,X,Y,value
2341,27.0,42.0,9.5
2342,27.0,43.0,9.5
2343,27.0,44.0,9.5
2344,27.0,45.0,9.5
2345,27.0,46.0,9.5
2346,27.0,47.0,9.5
2347,27.0,48.0,9.5
2348,27.0,49.0,9.5
2349,27.0,50.0,9.5
2350,27.0,51.0,9.5
2351,27.0,52.0,9.5
2352,27.0,53.0,9.5
2353,27.0,54.0,9.5
2354,27.0,55.0,9.5
2355,27.0,56.0,9.5
2356,27.0,57.0,9.5
2357,27.0,58.0,9.5
2358,27.0,59.0,9.5
2359,27.0,60.0,9.5
2360,27.0,61.0,9.5
2361,27.0,62.0,9.5
2362,27.0,63.0,9.5
2363,27.0,64.0,9.5
2364,27.0,65.0,9.5
2365,27.0,66.0,9.5
2366,27.0,67.0,9.5
2367,27.0,68.0,9.5
2368,27.0,69.0,9.5
2369,27.0,70.0,9.5
2370,27.0,71.0,9.5
2371,27.0,72.0,9.5
2372,27.0,73.0,9.5
2373,27.0,74.0,9.5
2374,27.0,75.0,9.5
2375,27.0,76.0,9.5
2376,27.0,77.0,9.5
2377,27.0,78.0,9.5
2378,27.0,79.0,9.5
2379,27.0,80.0,9.5
2380,27.0,81.0,9.5
2381,27.0,82.0,9.5
2382,27.0,83.0,9.5
2383,27.0,84.0,9.5
2384,27.0,85.0,9.5
2385,27.0,86.0,9.5
2386,27.0,87.0,9.5
2387,27.0,88.0,9.5
2388,27.0,89.0,9.5
2389,27.0,90.0,9.5
2390,27.0,91.0,9.5
2391,27.0,92.0,9.5
2392,27.0,93.0,9.5
2393,27.0,94.0,9.5
2394,27.0,95.0,9.5
2395,27.0,96.0,9.5
2396,27.0,97.0,9.5
2397,27.0,98.0,9.5
2398,27.0,99.0,9.5
2399,27.0,100.0,9.5
2400,28.0,1.0,10.285017506208087
2401,28.0,2.0,10.430928787910167
2402,28.0,3.0,10.47657830932903
2403,28.0,4.0,10.50331070458679
2404,28.0,5.0,10.503275249446265
2405,28.0,6.0,10.503230905778333
2406,28.0,7.0,10.503233583591845
2407,28.0,8.0,10.5032544160985
2408,28.0,9.0,10.503269987293478
2409,28.0,10.0,10.503247127038797
