,X,Y,value
517,9.0,38.0,9.5
518,9.0,39.0,9.5
519,9.0,40.0,9.5
520,9.0,41.0,9.5
521,9.0,42.0,9.5
522,9.0,43.0,9.5
523,9.0,44.0,9.5
524,9.0,45.0,9.5
525,9.0,46.0,9.5
526,9.0,47.0,9.5
527,9.0,48.0,9.5
528,9.0,49.0,9.5
529,9.0,50.0,9.5
530,9.0,51.0,9.5
531,9.0,52.0,9.5
532,9.0,53.0,9.5
533,9.0,54.0,9.5
534,9.0,55.0,9.5
535,9.0,56.0,9.5
536,9.0,57.0,9.5
537,9.0,58.0,9.5
538,9.0,59.0,9.5
539,9.0,60.0,9.5
540,10.0,1.0,9.5
541,10.0,2.0,9.5
542,10.0,3.0,9.5
543,10.0,4.0,9.5
544,10.0,5.0,9.5
545,10.0,6.0,9.5
546,10.0,7.0,9.5
547,10.0,8.0,9.5
548,10.0,9.0,9.5
549,10.0,10.0,10.359453300702649
550,10.0,11.0,10.372584722684826
551,10.0,12.0,10.429791041474115
552,10.0,13.0,10.369765500040804
553,10.0,14.0,10.503261450803912
554,10.0,15.0,10.37412355754773
555,10.0,16.0,10.370107534009387
556,10.0,17.0,10.403240673191974
557,10.0,18.0,10.392301637471975
558,10.0,19.0,9.5
559,10.0,20.0,9.5
560,10.0,21.0,9.5
561,10.0,22.0,9.5
562,10.0,23.0,9.5
563,10.0,24.0,9.5
564,10.0,25.0,9.5
565,10.0,26.0,9.5
566,10.0,27.0,9.5
567,10.0,28.0,9.5
568,10.0,29.0,9.5
569,10.0,30.0,9.5
570,10.0,31.0,9.5
571,10.0,32.0,9.5
572,10.0,33.0,9.5
573,10.0,34.0,9.5
574,10.0,35.0,9.5
575,10.0,36.0,9.5
576,10.0,37.0,9.5
577,10.0,38.0,9.5
578,10.0,39.0,9.5
579,10.0,40.0,9.5
580,10.0,41.0,9.5
581,10.0,42.0,9.5
582,10.0,43.0,9.5
583,10.0,44.0,9.5
584,10.0,45.0,9.5
585,10.0,46.0,9.5
586,10.0,47.0,9.5
587,10.0,48.0,9.5
588,10.0,49.0,9.5
589,10.0,50.0,9.5
590,10.0,51.0,9.5
591,10.0,52.0,9.5
592,10.0,53.0,9.5
593,10.0,54.0,9.5
594,10.0,55.0,9.5
595,10.0,56.0,9.5
596,10.0,57.0,9.5
597,10.0,58.0,9.5
598,10.0,59.0,9.5
599,10.0,60.0,9.5
600,11.0,1.0,9.5
601,11.0,2.0,9.5
602,11.0,3.0,9.5
603,11.0,4.0,9.5
604,11.0,5.0,9.5
605,11.0,6.0,9.5
606,11.0,7.0,9.5
607,11.0,8.0,9.5
608,11.0,9.0,9.5
609,11.0,10.0,9.5
610,11.0,11.0,10.353478865236243
611,11.0,12.0,10.401254094650266
612,11.0,13.0,10.39882937308114
613,11.0,14.0,10.44607666617397
614,11.0,15.0,10.435803636718282
615,11.0,16.0,10.447857988678226
616,11.0,17.0,10.44616304137417
617,11.0,18.0,10.462665530360974
618,11.0,19.0,9.5
619,11.0,20.0,9.5
620,11.0,21.0,9.5
621,11.0,22.0,9.5
622,11.0,23.0,9.5
623,11.0,24.0,9.5
624,11.0,25.0,9.5
625,11.0,26.0,9.5
626,11.0,27.0,9.5
627,11.0,28.0,9.5
628,11.0,29.0,9.5
629,11.0,30.0,9.5
630,11.0,31.0,9.5
631,11.0,32.0,9.5
632,11.0,33.0,9.5
633,11.0,34.0,9.5
634,11.0,35.0,9.5
635,11.0,36.0,9.5
636,11.0,37.0,9.5
637,11.0,38.0,9.5
638,11.0,39.0,9.5
639,11.0,40.0,9.5
640,11.0,41.0,9.5
641,11.0,42.0,9.5
642,11.0,43.0,9.5
643,11.0,44.0,9.5
644,11.0,45.0,9.5
645,11.0,46.0,9.5
646,11.0,47.0,9.5
647,11.0,48.0,9.5
648,11.0,49.0,9.5
649,11.0,50.0,9.5
650,11.0,51.0,9.5
651,11.0,52.0,9.5
652,11.0,53.0,9.5
653,11.0,54.0,9.5
654,11.0,55.0,9.5
655,11.0,56.0,9.5
656,11.0,57.0,9.5
657,11.0,58.0,9.5
658,11.0,59.0,9.5
